name,city,country,iata,icao,latitude,longitude,altitude,timezone,timezone_dst
Goroka Airport,Goroka,Papua New Guinea,GKA,AYGA,-6.082,145.392,5282,Pacific/Port_Moresby,U
Madang Airport,Madang,Papua New Guinea,MAG,AYMD,-5.207,145.789,20,Pacific/Port_Moresby,U
Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea,HGU,AYMH,-5.827,144.296,5388,Pacific/Port_Moresby,U
Nadzab Airport,Nadzab,Papua New Guinea,LAE,AYNZ,-6.570,146.726,239,Pacific/Port_Moresby,U
Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea,POM,AYPY,-9.443,147.220,146,Pacific/Port_Moresby,U
Wewak International Airport,Wewak,Papua New Guinea,WWK,AYWK,-3.584,143.669,19,Pacific/Port_Moresby,U
Narsarsuaq Airport,Narssarssuaq,Greenland,UAK,BGBW,61.160,-45.426,112,America/Godthab,E
Godthaab / Nuuk Airport,Godthaab,Greenland,GOH,BGGH,64.191,-51.678,283,America/Godthab,E
Kangerlussuaq Airport,Sondrestrom,Greenland,SFJ,BGSF,67.012,-50.712,165,America/Godthab,E
Thule Air Base,Thule,Greenland,THU,BGTL,76.531,-68.703,251,America/Thule,E
Akureyri Airport,Akureyri,Iceland,AEY,BIAR,65.660,-18.073,6,Atlantic/Reykjavik,N
Egilsstaðir Airport,Egilsstadir,Iceland,EGS,BIEG,65.283,-14.401,76,Atlantic/Reykjavik,N
Hornafjörður Airport,Hofn,Iceland,HFN,BIHN,64.296,-15.227,24,Atlantic/Reykjavik,N
Húsavík Airport,Husavik,Iceland,HZK,BIHU,65.952,-17.426,48,Atlantic/Reykjavik,N
Ísafjörður Airport,Isafjordur,Iceland,IFJ,BIIS,66.058,-23.135,8,Atlantic/Reykjavik,N
Keflavik International Airport,Keflavik,Iceland,KEF,BIKF,63.985,-22.606,171,Atlantic/Reykjavik,N
Patreksfjörður Airport,Patreksfjordur,Iceland,PFJ,BIPA,65.556,-23.965,11,Atlantic/Reykjavik,N
Reykjavik Airport,Reykjavik,Iceland,RKV,BIRK,64.130,-21.941,48,Atlantic/Reykjavik,N
Siglufjörður Airport,Siglufjordur,Iceland,SIJ,BISI,66.133,-18.917,10,Atlantic/Reykjavik,N
Vestmannaeyjar Airport,Vestmannaeyjar,Iceland,VEY,BIVM,63.424,-20.279,326,Atlantic/Reykjavik,N
Sault Ste Marie Airport,Sault Sainte Marie,Canada,YAM,CYAM,46.485,-84.509,630,America/Toronto,A
Winnipeg / St. Andrews Airport,Winnipeg,Canada,,CYAV,50.056,-97.033,760,America/Winnipeg,A
Halifax / CFB Shearwater Heliport,Halifax,Canada,,CYAW,44.640,-63.499,144,America/Halifax,A
St. Anthony Airport,St. Anthony,Canada,YAY,CYAY,51.392,-56.083,108,America/St_Johns,A
Tofino / Long Beach Airport,Tofino,Canada,YAZ,CYAZ,49.080,-125.776,80,America/Vancouver,A
Kugaaruk Airport,Pelly Bay,Canada,YBB,CYBB,68.534,-89.808,56,America/Edmonton,A
Baie Comeau Airport,Baie Comeau,Canada,YBC,CYBC,49.132,-68.204,71,America/Toronto,A
CFB Bagotville,Bagotville,Canada,YBG,CYBG,48.331,-70.996,522,America/Toronto,A
Baker Lake Airport,Baker Lake,Canada,YBK,CYBK,64.299,-96.078,59,America/Winnipeg,A
Campbell River Airport,Campbell River,Canada,YBL,CYBL,49.951,-125.271,346,America/Vancouver,A
Brandon Municipal Airport,Brandon,Canada,YBR,CYBR,49.910,-99.952,1343,America/Winnipeg,A
Cambridge Bay Airport,Cambridge Bay,Canada,YCB,CYCB,69.108,-105.138,90,America/Edmonton,A
Nanaimo Airport,Nanaimo,Canada,YCD,CYCD,49.055,-123.870,92,America/Vancouver,A
Castlegar/West Kootenay Regional Airport,Castlegar,Canada,YCG,CYCG,49.296,-117.632,1624,America/Vancouver,A
Miramichi Airport,Chatham,Canada,YCH,CYCH,47.008,-65.449,108,America/Halifax,A
