OBJECTID,id,airport_ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,description,frequency_mhz,runway_length_ft,runway_width_ft,runway_surface,runway_lighted,runway_closed
1,6528,00CA,small_airport,Goldstone (GTS) Airport,35.35474,-116.885329,3038,NA,US,US-CA,Barstow,no,00CA,,00CA,,,,CTAF,122.9,6000,80,ASPH,0,0
2,6589,01FL,small_airport,Cedar Knoll Flying Ranch Airport,28.7819004058838,-81.1592025756836,19,NA,US,US-FL,Geneva,no,01FL,,01FL,,,,,122.9,3000,50,TURF,1,0
3,6756,04CA,small_airport,Gray Butte Field,34.5639,-117.675003,3020,NA,US,US-CA,Palmdale,no,KGXA,,04CA,,,,CTAF,122.9,5000,150,ASPH,0,0
4,6779,04MS,small_airport,Nick's Flying Service Inc Airport,32.940537,-90.836683,100,NA,US,US-MS,Rolling Fork,no,04MS,,04MS,,,,UNICOM,122.8,3400,100,ASPH-TURF,0,0
5,6784,04NV,small_airport,Kingston Ranch Airport,35.7555007935,-115.665000916,2620,NA,US,US-NV,Sandy Valley,no,04NV,,04NV,,,,UNICOM,123,3240,45,ASPH,1,0
6,6812,05CL,small_airport,Pope Valley Airport,38.6106987,-122.39099884,618,NA,US,US-CA,Pope Valley,no,05CL,,05CL,,,,CTAF,122.9,3700,60,ASPH-G,1,0
8,6868,06FA,small_airport,William P Gwinn Airport,26.9083995819092,-80.3289031982422,28,NA,US,US-FL,Jupiter,no,06FA,,06FA,,https://en.wikipedia.org/wiki/North_Palm_Beach_County_General_Aviation_Airport,,PALM BEACH APP,124.6,7003,150,ASPH,1,0
9,6887,06MO,small_airport,Noahs Ark Airport,39.230598449707,-94.8043975830078,755,NA,US,US-MO,Waldron,no,06MO,,06MO,,,,CTAF,122.9,3000,30,ASPH,1,0
10,6924,07FA,small_airport,Ocean Reef Club Airport,25.325399398804,-80.274803161621,8,NA,US,US-FL,Key Largo,no,07FA,OCA,07FA,https://www.oceanreef.com/community/private-airport-1345.html,https://en.wikipedia.org/wiki/Ocean_Reef_Club_Airport,,UNICOM,122.7,4500,70,ASPH,1,0
11,6943,07MT,small_airport,Glasgow Industrial Airport,48.4211006164551,-106.52799987793,2762,NA,US,US-MT,Glasgow,no,07MT,,07MT,,,,SALT LAKE CITY CNTR,126.85,13500,300,CONC-G,1,0
12,6954,07TE,small_airport,Cuddihy Field,27.7210998535156,-97.5128021240234,39,NA,US,US-TX,Corpus Christi,no,07TE,,07TE,,,,HOUSTON CNTR,126.625,5000,100,ASPH,0,0
14,7019,09CL,small_airport,Alta Sierra Airport,39.1138000488281,-121.056999206543,2275,NA,US,US-CA,Grass Valley,no,09CL,,09CL,,,,CTAF,122.9,3000,50,ASPH-F,0,0
15,7021,09FA,small_airport,Placid Lakes Airport,27.2455997467041,-81.4131011962891,130,NA,US,US-FL,Lake Placid,no,09FA,,09FA,,,,UNICOM,122.8,4800,50,ASPH-E,1,0
16,7054,09TS,small_airport,Pitcock Rosillos Mountain Ranch Airport,29.482400894165,-103.165000915527,3100,NA,US,US-TX,Marathon,no,09TS,,09TS,,,,ALBUQUERQUE CNTR,132.65,4200,42,ASPH,0,0
19,7116,0CA9,small_airport,Blech Ranch Airport,35.592797,-120.338058,1140,NA,US,US-CA,Shandon,no,0CA9,,0CA9,,,,CTAF,122.9,3300,60,ASPH,0,0
20,7213,0ID2,small_airport,Flying Joseph Ranch Airport,44.4429016113,-113.773002625,5600,NA,US,US-ID,May,no,0ID2,,0ID2,,,,SALT LAKE CITY CNTR,128.35,6507,75,ASPH,0,0
21,7542,0TE4,small_airport,Hilltop Lakes Airport,31.0809993743896,-96.215202331543,501,NA,US,US-TX,Hilltop Lakes,no,0TE4,,0TE4,,,,CTAF/UNICOM,122.8,3000,40,ASPH,0,0
